SEQ=2375 | IR=6281 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2376 | IR=6288 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2377 | IR=6266 | MOV=0.008 | MPU=OK | BLE=CONECTADO
SEQ=2378 | IR=6260 | MOV=0.013 | MPU=OK | BLE=CONECTADO
SEQ=2379 | IR=6278 | MOV=0.000 | MPU=ERRO | BLE=CONECTADO
SEQ=2380 | IR=6284 | MOV=0.000 | MPU=ERRO | BLE=CONECTADO
SEQ=2381 | IR=6285 | MOV=0.000 | MPU=ERRO | BLE=CONECTADO
SEQ=2382 | IR=6290 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2383 | IR=6286 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2384 | IR=6289 | MOV=0.012 | MPU=OK | BLE=CONECTADO
SEQ=2385 | IR=6276 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2386 | IR=6291 | MOV=0.000 | MPU=ERRO | BLE=CONECTADO
SEQ=2387 | IR=6284 | MOV=0.000 | MPU=ERRO | BLE=CONECTADO
SEQ=2388 | IR=6291 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2389 | IR=6281 | MOV=0.014 | MPU=OK | BLE=CONECTADO
SEQ=2390 | IR=6287 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2391 | IR=6302 | MOV=0.013 | MPU=OK | BLE=CONECTADO
SEQ=2392 | IR=6292 | MOV=0.281 | MPU=OK | BLE=CONECTADO
SEQ=2393 | IR=6320 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2394 | IR=6316 | MOV=0.027 | MPU=OK | BLE=CONECTADO
SEQ=2395 | IR=6301 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2396 | IR=6297 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2397 | IR=6307 | MOV=0.027 | MPU=OK | BLE=CONECTADO
SEQ=2398 | IR=6307 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2399 | IR=6304 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2400 | IR=6310 | MOV=0.038 | MPU=OK | BLE=CONECTADO
SEQ=2401 | IR=6305 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2402 | IR=6322 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2403 | IR=6298 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2404 | IR=6273 | MOV=0.011 | MPU=OK | BLE=CONECTADO
SEQ=2405 | IR=6272 | MOV=0.034 | MPU=OK | BLE=CONECTADO
SEQ=2406 | IR=6259 | MOV=0.030 | MPU=OK | BLE=CONECTADO
SEQ=2407 | IR=6272 | MOV=0.042 | MPU=OK | BLE=CONECTADO
SEQ=2408 | IR=6255 | MOV=0.015 | MPU=OK | BLE=CONECTADO
SEQ=2409 | IR=6275 | MOV=0.013 | MPU=OK | BLE=CONECTADO
SEQ=2410 | IR=6279 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2411 | IR=6302 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2412 | IR=6318 | MOV=0.013 | MPU=OK | BLE=CONECTADO
SEQ=2413 | IR=6297 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2414 | IR=6303 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2415 | IR=6311 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2416 | IR=6301 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2417 | IR=6311 | MOV=0.033 | MPU=OK | BLE=CONECTADO
SEQ=2418 | IR=6302 | MOV=0.010 | MPU=OK | BLE=CONECTADO
SEQ=2419 | IR=6311 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2420 | IR=6296 | MOV=0.026 | MPU=OK | BLE=CONECTADO
SEQ=2421 | IR=6315 | MOV=0.014 | MPU=OK | BLE=CONECTADO
SEQ=2422 | IR=6301 | MOV=0.028 | MPU=OK | BLE=CONECTADO
SEQ=2423 | IR=6305 | MOV=0.013 | MPU=OK | BLE=CONECTADO
SEQ=2424 | IR=6310 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2425 | IR=6303 | MOV=0.028 | MPU=OK | BLE=CONECTADO
SEQ=2426 | IR=6318 | MOV=0.013 | MPU=OK | BLE=CONECTADO
SEQ=2427 | IR=6275 | MOV=0.069 | MPU=OK | BLE=CONECTADO
SEQ=2428 | IR=6278 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2429 | IR=6291 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2430 | IR=6280 | MOV=0.023 | MPU=OK | BLE=CONECTADO
SEQ=2431 | IR=6277 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2432 | IR=6272 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2433 | IR=6294 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2434 | IR=6305 | MOV=0.024 | MPU=OK | BLE=CONECTADO
SEQ=2435 | IR=6325 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2436 | IR=6322 | MOV=0.020 | MPU=OK | BLE=CONECTADO
SEQ=2437 | IR=6325 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2438 | IR=6332 | MOV=0.022 | MPU=OK | BLE=CONECTADO
SEQ=2439 | IR=6330 | MOV=0.024 | MPU=OK | BLE=CONECTADO
SEQ=2440 | IR=6336 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2441 | IR=6331 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2442 | IR=6327 | MOV=0.014 | MPU=OK | BLE=CONECTADO
SEQ=2443 | IR=6334 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2444 | IR=6325 | MOV=0.016 | MPU=OK | BLE=CONECTADO
SEQ=2445 | IR=6344 | MOV=0.017 | MPU=OK | BLE=CONECTADO
SEQ=2446 | IR=6315 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2447 | IR=6329 | MOV=0.000 | MPU=ERRO | BLE=CONECTADO
SEQ=2448 | IR=6321 | MOV=0.019 | MPU=OK | BLE=CONECTADO
SEQ=2449 | IR=6336 | MOV=0.021 | MPU=OK | BLE=CONECTADO
SEQ=2450 | IR=6324 | MOV=0.021 | MPU=OK | BLE=CONECTADO
